SourceData,TagID,SiteID,NowDis,State,CreateTimeStr,Sn,Azimuth,Elevation,
FF FF FF FF 00 25 00 36 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 5D 01 3A 00 2A 12 34 04 5E 00 00 00 00 01,3847,3847,93,4660,2026-04-09 12:31:35.622,1118,314,42,
FF FF FF FF 00 25 00 37 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 3D 01 2E 00 29 12 34 04 5F 00 00 00 00 76,3847,3847,61,4660,2026-04-09 12:31:35.652,1119,302,41,
FF FF FF FF 00 25 00 38 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 56 01 32 00 2A 12 34 04 5E 00 00 00 00 0C,3847,3847,86,4660,2026-04-09 12:31:35.668,1118,306,42,
FF FF FF FF 00 25 00 39 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 1C 01 2B 00 2F 12 34 04 5F 00 00 00 00 5A,3847,3847,28,4660,2026-04-09 12:31:35.698,1119,299,47,
FF FF FF FF 00 25 00 3A 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 36 01 29 00 2E 12 34 04 60 00 00 00 00 4F,3847,3847,54,4660,2026-04-09 12:31:35.745,1120,297,46,
FF FF FF FF 00 25 00 3B 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 40 01 27 00 2D 12 34 04 61 00 00 00 00 34,3847,3847,64,4660,2026-04-09 12:31:35.775,1121,295,45,
FF FF FF FF 00 25 00 3C 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 52 01 2B 00 2D 12 34 04 60 00 00 00 00 2C,3847,3847,82,4660,2026-04-09 12:31:35.791,1120,299,45,
FF FF FF FF 00 25 00 3D 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 67 01 2F 00 2A 12 34 04 61 00 00 00 00 1A,3847,3847,103,4660,2026-04-09 12:31:36.502,1121,303,42,
FF FF FF FF 00 25 00 35 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 42 01 4A 00 2A 12 34 04 5D 00 00 00 00 6E,3847,3847,68,4660,2026-04-09 12:31:37.492,1122,301,42,
FF FF FF FF 00 25 00 3E 20 01 01 02 00 00 0F 07 00 00 0F 07 00 00 00 44 01 2D 00 2A 12 34 04 62 00 00 00 00 3B,3847,3847,68,4660,2026-04-09 12:31:37.492,1122,301,42,
FF FF FF FF 00 25 00 56 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 70 01 2E FF CB 12 34 00 08 00 00 00 00 14,3851,3851,112,4660,2026-04-09 13:23:30.990,8,302,-53,
FF FF FF FF 00 25 00 57 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 6F 01 1F FF CA 12 34 00 09 00 00 00 00 3B,3851,3851,111,4660,2026-04-09 13:23:31.021,9,287,-54,
FF FF FF FF 00 25 00 58 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 6D 01 15 FF C9 12 34 00 0A 00 00 00 00 3C,3851,3851,109,4660,2026-04-09 13:23:31.052,10,277,-55,
FF FF FF FF 00 25 00 59 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 6B 01 0C FF C9 12 34 00 0B 00 00 00 00 23,3851,3851,107,4660,2026-04-09 13:23:31.067,11,268,-55,
FF FF FF FF 00 25 00 5A 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 69 01 05 FF CA 12 34 00 0C 00 00 00 00 2F,3851,3851,105,4660,2026-04-09 13:23:31.098,12,261,-54,
FF FF FF FF 00 25 00 5B 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 69 01 00 FF CC 12 34 00 0D 00 00 00 00 2C,3851,3851,105,4660,2026-04-09 13:23:31.145,13,256,-52,
FF FF FF FF 00 25 00 5C 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 68 00 FC FF CE 12 34 00 0E 00 00 00 00 D6,3851,3851,104,4660,2026-04-09 13:23:31.176,14,252,-50,
FF FF FF FF 00 25 00 5D 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 61 00 F7 FF D3 12 34 00 0F 00 00 00 00 C9,3851,3851,97,4660,2026-04-09 13:23:31.191,15,247,-45,
FF FF FF FF 00 25 00 5E 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 5F 00 F4 FF D6 12 34 00 10 00 00 00 00 ED,3851,3851,95,4660,2026-04-09 13:23:31.222,16,244,-42,
FF FF FF FF 00 25 00 55 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 72 01 4A FF CF 12 34 00 07 00 00 00 00 7A,3851,3851,95,4660,2026-04-09 13:23:31.222,16,244,-42,
FF FF FF FF 00 25 00 5F 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 63 00 F3 FF D6 12 34 00 11 00 00 00 00 D6,3851,3851,99,4660,2026-04-09 13:23:31.270,17,243,-42,
FF FF FF FF 00 25 00 60 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 61 00 F1 FF D5 12 34 00 12 00 00 00 00 E9,3851,3851,97,4660,2026-04-09 13:23:31.301,18,241,-43,
FF FF FF FF 00 25 00 61 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 60 00 F0 FF D6 12 34 00 13 00 00 00 00 EA,3851,3851,96,4660,2026-04-09 13:23:31.317,19,240,-42,
FF FF FF FF 00 25 00 62 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 5C 00 EE FF D8 12 34 00 14 00 00 00 00 C2,3851,3851,92,4660,2026-04-09 13:23:31.349,20,238,-40,
FF FF FF FF 00 25 00 63 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 5C 00 EC FF D9 12 34 00 15 00 00 00 00 C1,3851,3851,92,4660,2026-04-09 13:23:31.396,21,236,-39,
FF FF FF FF 00 25 00 64 20 01 01 02 00 00 0F 0B 00 00 0F 0B 00 00 00 60 00 EC FF D9 12 34 00 16 00 00 00 00 F9,3851,3851,96,4660,2026-04-09 13:23:31.426,22,236,-39,
